,city_ID,City,Country,lat,lon,temp,wind,cloudiness,humidity
311,3386213,Touros,BR,-5.2,-35.46,25.0,1.0,75,94
312,3451138,Rio Grande,BR,-32.03,-52.1,20.0,4.46,0,83
313,3936456,Lima,PE,-12.04,-77.03,24.0,6.2,40,78
314,3693345,Pucallpa,PE,-8.38,-74.55,28.0,2.1,75,83
315,3580279,Gouyave,GD,12.16,-61.73,24.0,5.18,20,88
316,2158767,Mareeba,AU,-17.0,145.43,25.74,6.2,90,83
317,286987,Nizwá,OM,22.93,57.53,17.25,0.98,0,56
318,3514843,Emilio Carranza,MX,19.97,-96.61,23.31,1.08,2,89
319,2514651,Los Llanos de Aridane,ES,28.66,-17.92,15.05,7.7,20,67
320,1293960,Taunggyi,MM,20.78,97.03,27.8,3.11,67,20
321,4026082,Lázaro Cárdenas,MX,17.96,-102.2,23.91,1.04,0,85
322,1261077,Odlābāri,IN,26.83,88.62,21.96,1.23,0,25
323,3899539,Antofagasta,CL,-23.65,-70.4,18.0,2.1,20,82
324,1816221,Buhe,CN,30.29,112.23,18.89,2.86,82,57
325,2027296,Aykhal,RU,66.0,111.5,-22.0,4.0,100,83
326,2619537,Hvide Sande,DK,56.0,8.13,5.81,6.7,92,81
327,3355672,Lüderitz,NA,-26.65,15.16,17.0,1.5,0,93
328,2732340,Mata,PT,40.68,-7.46,7.86,3.13,100,72
329,2324857,Pindiga,NG,9.98,10.93,21.66,4.27,59,10
330,2239862,Malanje,AO,-9.54,16.34,16.95,1.49,100,98
331,1795632,Shenjiamen,CN,29.96,122.3,12.65,5.92,100,84
332,1633419,Padang,ID,-0.95,100.35,27.84,1.34,100,62
333,3587498,Acajutla,SV,13.59,-89.83,23.89,0.89,0,87
334,786735,Prilep,MK,41.35,21.55,-1.54,1.14,0,86
335,5983607,Inuvik,CA,68.35,-133.72,-6.0,4.6,75,79
336,2122493,Omsukchan,RU,62.53,155.8,-13.69,2.94,100,93
337,2980080,Saint-François,FR,46.42,3.91,7.67,1.0,61,81
338,1214026,Sabang,ID,5.89,95.32,28.77,7.98,100,79
339,1259385,Port Blair,IN,11.67,92.75,28.36,5.16,89,75
340,2435508,Benoy,TD,8.98,16.32,22.25,2.39,71,15
341,556268,Ostrovnoy,RU,68.05,39.51,-9.92,7.85,10,85
342,2997625,Arrondissement de Lons-le-Saunier,FR,46.75,5.75,6.18,1.5,1,86
343,3099174,Głubczyce,PL,50.2,17.83,4.39,5.1,95,64
344,174448,Abu Kamal,SY,34.45,40.92,17.78,6.24,94,50
345,1337619,Ugoofaaru,MV,5.67,73.0,28.46,6.54,100,77
346,2108857,Gizo Government Station,SB,-8.1,156.84,28.42,1.88,95,78
347,3988392,Rosarito,MX,32.33,-117.03,14.04,5.1,75,59
348,2185763,Okato,NZ,-39.2,173.88,15.93,8.94,0,50
349,3421319,Nuuk,GL,64.18,-51.72,-15.0,6.2,0,50
350,6156245,Stephenville Crossing,CA,48.5,-58.43,-13.0,2.1,5,55
351,5802636,Mattawa,US,46.74,-119.9,7.76,2.1,1,45
352,3445026,Vila Velha,BR,-20.33,-40.29,25.21,2.1,20,88
353,1489656,Teya,RU,60.38,92.63,-14.55,4.37,0,72
354,3347019,Mossamedes,AO,-15.2,12.15,23.67,3.53,99,83
355,3832899,Viedma,AR,-40.81,-63.0,20.97,4.59,100,52
356,134721,Fasa,IR,28.94,53.65,7.0,1.21,0,81
357,2214432,Nālūt,LY,30.33,10.85,13.56,11.17,51,70
358,2177091,Ballarat,AU,-37.57,143.85,23.39,2.68,58,41
